year,production,imports,ssr
2000,12.39,0.64,0.93
2001,12.95,0.81,0.91
2002,13.27,1.2,0.88
2003,13.5,0.89,0.91
2004,14.5,1,0.91
2005,14.6,1.82,0.84
2006,15.33,1.72,0.85
2007,16.24,1.81,0.86
2008,16.82,2.43,0.82
2009,16.27,1.76,0.86
2010,15.77,2.38,0.81
2011,16.68,0.71,0.94
2012,18.03,1.04,0.92
2013,18.44,0.4,0.97
2014,18.97,1.09,0.92
2015,18.15,1.48,0.89
2016,17.63,0.61,0.95
2017,19.28,0.89,0.93
2018,19.07,2,0.86
2019,18.81,3.12,0.8
2020,19.29,2.22,0.85
2021,19.96,2.97,0.82
2022,19.76,3.86,0.77
2023,20.06,3.61,0.78
2024,19.09,4.77,0.74
2025,19.68,3.52,0.78
